"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Molly Lenz","N Dakota St",27,108,43,0.398148148148148,0.335976369234971,0.0621717789131769
"Christina Pham","Fairfield",22,112,42,0.375,0.335963923356403,0.039036076643597
"Ava Schmidt","Santa Clara",29,182,67,0.368131868131868,0.335928709822874,0.0322031583089946
"Mariana Valenzuela","Seton Hall",29,142,55,0.387323943661972,0.335927044204483,0.0513968994574887
"Ashlyn Traylor-Walker","SF Austin",12,46,21,0.456521739130435,0.335920007051505,0.120601732078929
"Jakoriah Long","Tarleton St",27,117,45,0.384615384615385,0.335811970705397,0.0488034139099875
"Gisella Maul","California",31,122,48,0.39344262295082,0.335625363010765,0.0578172599400549
"Mya Barnes","Jax State",25,137,52,0.37956204379562,0.33556214501691,0.0439998987787107
"Quinn Eubank","Belmont",29,67,28,0.417910447761194,0.335474447145812,0.0824360006153821
"Monica Williams","Ohio",24,58,25,0.431034482758621,0.335446126288886,0.0955883564697351
"Marta Suarez","TCU",32,183,70,0.382513661202186,0.335361918102212,0.0471517430999738
"Zoe Mesuch","Navy",27,188,68,0.361702127659574,0.335338291199698,0.0263638364598765
"Daeja Holmes","Texas Southern",20,108,38,0.351851851851852,0.335277925617843,0.0165739262340093
"Maya Hunkin-Claytor","Alcorn St",25,179,60,0.335195530726257,0.335149052453346,4.6478272910988e-05
"Anna Trusty","Oral Roberts",24,89,36,0.404494382022472,0.3350806343172,0.069413747705272
"Jenna Villa","Oregon St",29,162,60,0.37037037037037,0.334972539911009,0.0353978304593618
"Xai Whitfield","Tennessee St",22,46,21,0.456521739130435,0.334946011611541,0.121575727518894
"Addi Wedin","Saint Mary's",26,76,31,0.407894736842105,0.334901687737315,0.0729930491047906
"Adriana Arroyo","E Illinois",16,43,20,0.465116279069767,0.334725307809223,0.130390971260545
"Sauda Ntaconayigize","Lafayette",24,125,47,0.376,0.334672094759476,0.0413279052405241
"Brittani Wells","UT Martin",27,99,39,0.393939393939394,0.334619680497037,0.0593197134423565
"Snudda Collins","Texas Tech",32,119,47,0.394957983193277,0.334485449754694,0.0604725334385831
"Tessa Grady","Coastal",30,216,78,0.361111111111111,0.334472140078403,0.0266389710327078
"Janessa Williams","Long Island",23,93,36,0.387096774193548,0.33421563687952,0.0528811373140282
"Kishyah Anderson","GA Southern",21,38,18,0.473684210526316,0.333969289139555,0.139714921386761
"Taleyah Jones","Arkansas",30,156,60,0.384615384615385,0.333950763273602,0.0506646213417827
"Rylee Sagester","Wright St",30,134,50,0.373134328358209,0.333941589093857,0.0391927392643523
"Jada Brown","George Mason",26,92,36,0.391304347826087,0.333821702640637,0.0574826451854495
"Coryn Watts","Denver",26,205,76,0.370731707317073,0.333590862055683,0.0371408452613906
"Lydia Cajuste","SF Austin",29,96,37,0.385416666666667,0.333511545440033,0.0519051212266335
"Emilie Sorensen","N Illinois",29,137,51,0.372262773722628,0.333444740436979,0.038818033285649
"Addisen Sulikowski","New Haven",27,119,44,0.369747899159664,0.333442621512975,0.036305277646689
"Liz Freihofer","E Kentucky",29,158,58,0.367088607594937,0.333428180641095,0.0336604269538419
"Zoe Stewart","Howard",30,93,35,0.376344086021505,0.333363552441103,0.042980533580402
"Carly Keats","Southern Miss",29,187,68,0.363636363636364,0.333317210196673,0.0303191534396903
"Sydney Ryan","Quinnipiac",29,132,48,0.363636363636364,0.333293169481032,0.0303431941553314
"Neleigh Gessert","Creighton",26,212,79,0.372641509433962,0.33327984210035,0.0393616673336124
"Mimi Rubino","Bryant",28,146,54,0.36986301369863,0.333262279001307,0.0366007346973229
"Micaela Carter","Hofstra",21,55,23,0.418181818181818,0.333050246449948,0.08513157173187
"Kristin Williams","Coastal",30,230,82,0.356521739130435,0.333012967158296,0.0235087719721391
"Maddie Webber","Illinois",31,117,48,0.41025641025641,0.332803350270664,0.0774530599857467
"Danielle Williamsen","Marist",21,87,33,0.379310344827586,0.332782471560611,0.0465278732669751
"Nala Williams","San Diego St",27,90,35,0.388888888888889,0.332714149196141,0.0561747396927474
"Liz Murphy","Akron",21,75,30,0.4,0.332707601735728,0.067292398264272
"Zahra King","SMU",28,116,45,0.387931034482759,0.332648169361954,0.0552828651208042
"Taryn Barbot","Charleston",26,170,60,0.352941176470588,0.332418038803776,0.0205231376668127
"Nevaeh Foster","IU Indy",28,150,55,0.366666666666667,0.332219071318643,0.0344475953480233
"Yahmani McKayle","UMass",28,162,59,0.364197530864198,0.332160753927764,0.0320367769364337
"Iemyiah Harris","SC State",13,101,37,0.366336633663366,0.332139261216444,0.0341973724469224
"Amelia Hassett","Kentucky",33,248,92,0.370967741935484,0.332087267054548,0.0388804748809354
"Gabriela Jaquez","UCLA",28,100,41,0.41,0.332069975632266,0.0779300243677338
"Júlia Palomo Vicente","UAlbany",28,88,34,0.386363636363636,0.332004844794516,0.0543587915691204
"Lauren Bailey","Furman",20,106,40,0.377358490566038,0.331869869738481,0.0454886208275564
"Nyla Brooks","North Carolina",31,146,56,0.383561643835616,0.331648169070273,0.0519134747653434
"Indiya Bowen","AR-Pine Bluff",27,177,58,0.327683615819209,0.331564378181665,-0.00388076236245605
"Keiara Curtis","Hawai’i",23,94,36,0.382978723404255,0.331517313874366,0.0514614095298896
"Key Roseby","SF Austin",29,131,48,0.366412213740458,0.331473568105041,0.0349386456354168
"Kourtney Grossman","E Washington",29,109,41,0.376146788990826,0.331459090740221,0.0446876982506046
"Gwendlyn McGrew","Incarnate Word",23,123,45,0.365853658536585,0.331404981375967,0.0344486771606179
"Chloe Escanillas","Marist",21,60,24,0.4,0.331356068127844,0.0686439318721559
"Peyton Ilderton","Marshall",30,193,69,0.357512953367876,0.331344534456717,0.0261684189111585
"Alayna Contreras","MTSU",27,148,54,0.364864864864865,0.331255808097996,0.0336090567668693
"Charlotte Abraham","Washington St",33,172,62,0.36046511627907,0.331236418327773,0.0292286979512966
"Molly Moffitt","UAB",27,107,40,0.373831775700935,0.331235576769281,0.0425961989316537
"Breezie Williams","Wright St",28,103,39,0.378640776699029,0.331216307176585,0.0474244695224439
"Sarah Owona","Chattanooga",26,70,28,0.4,0.331189705138895,0.0688102948611047
"Amari Franklin","Alabama St",22,54,21,0.388888888888889,0.331145670639873,0.0577432182490161
"Luisa Vydrova","Yale",23,36,17,0.472222222222222,0.331133287273029,0.141088934949193
"Zoe Shaw","Santa Barbara",27,147,54,0.36734693877551,0.331125659152217,0.0362212796232935
"Macie Phifer","MTSU",27,106,40,0.377358490566038,0.331090164519413,0.0462683260466243
"Vittoria Blasigh","Miami",28,117,45,0.384615384615385,0.331064145017206,0.0535512395981781
"Caelan Ellis","Charleston So",29,214,74,0.345794392523364,0.330962712298116,0.0148316802252488
"Zamareya Jones","NC State",29,177,65,0.367231638418079,0.330903198428445,0.0363284399896341
"Rosa Smith","UC San Diego",27,142,52,0.366197183098592,0.330871893024229,0.0353252900743629
"Bella Edwards","Oral Roberts",16,42,19,0.452380952380952,0.330745671589647,0.121635280791305
"Amy Terrian","Michigan St",18,60,27,0.45,0.33066416864938,0.11933583135062
"Brooke Paquette","Stonehill",28,168,59,0.351190476190476,0.33061002658951,0.0205804496009663
"Izzy Callaway","Akron",28,107,40,0.373831775700935,0.330597336459979,0.0432344392409559
"Allia von Schlegell","Valparaiso",30,166,60,0.36144578313253,0.330482026923763,0.0309637562087667
"Mahli Abdouch","S Dakota St",29,83,33,0.397590361445783,0.33045135285624,0.0671390085895427
"Imari Berry","Louisville",30,118,45,0.38135593220339,0.330405765070961,0.0509501671324287
"Sam Dewey","Richmond",31,98,37,0.377551020408163,0.33035136983653,0.0471996505716329
"Nevaeh Reaves","Delaware St",20,92,34,0.369565217391304,0.330263442117298,0.0393017752740061
"Portia Adams","UTEP",25,67,27,0.402985074626866,0.330139366002196,0.0728457086246694
"Rhian Stokes","Saint Joseph's",26,71,28,0.394366197183099,0.330042905516737,0.0643232916663611
"Ta'Mia Scott","Alabama",31,137,52,0.37956204379562,0.329797978983199,0.0497640648124211
"Desi Taylor","MD Eastern",28,90,33,0.366666666666667,0.329707195221401,0.0369594714452653
"Sydney Ward","Pacific",25,64,26,0.40625,0.329658478221669,0.0765915217783308
"Diaka Berete","Stony Brook",27,154,54,0.350649350649351,0.329652960904518,0.0209963897448328
"S'Mya Nichols","Kansas",31,76,31,0.407894736842105,0.329641411054807,0.078253325787298
"Olivia Olson","Marshall",14,101,38,0.376237623762376,0.329522568852285,0.0467150549100914
"Grace Lomen","Milwaukee",27,122,45,0.368852459016393,0.329503854855531,0.0393486041608621
"Kymora Johnson","Virginia",30,244,88,0.360655737704918,0.32946877073079,0.031186966974128
"Madlena Gerke","FDU",29,211,73,0.345971563981043,0.329460177623615,0.0165113863574274
"Emma Smith","App State",27,101,38,0.376237623762376,0.329308270768224,0.0469293529941525
"Rhyan Mogel","Portland",23,61,25,0.409836065573771,0.329196108739589,0.080639956834181
"Andi Schissler","North Texas",27,133,48,0.360902255639098,0.329181196425683,0.0317210592134144
"Morgan Trigueiro","Southern Utah",21,58,24,0.413793103448276,0.329178393395034,0.0846147100532415
"Mary Amoateng","George Mason",26,65,26,0.4,0.329109335646568,0.0708906643534318
"Nayli Padilla","New Mexico",31,143,52,0.363636363636364,0.329008061243629,0.0346283023927345
"Delilah Soltys","James Madison",24,47,20,0.425531914893617,0.328906689350416,0.0966252255432012
"Kloe Froebe","Colorado St",27,65,26,0.4,0.328816021745536,0.0711839782544644
"Yarden Garzon","Maryland",31,229,87,0.379912663755459,0.328703218240325,0.0512094455151335
"Jorja Elliott","Incarnate Word",26,152,54,0.355263157894737,0.328691743677343,0.0265714142173942
"Karson Martin","Quinnipiac",20,80,30,0.375,0.328530138285354,0.0464698617146461
"Dani Ceseretti","Villanova",19,28,14,0.5,0.328291136898453,0.171708863101547
"Kinsea Grimes","Coastal",27,80,31,0.3875,0.328276295441348,0.0592237045586518
"Naomi Panganiban","San Diego St",28,136,49,0.360294117647059,0.32810513892299,0.0321889787240687
"Dani Carnegie","Georgia",31,230,84,0.365217391304348,0.32808304489397,0.037134346410378
"Carys Baker","Virginia Tech",31,166,61,0.367469879518072,0.328076816351953,0.0393930631661197
"Destiny Howell","Wisconsin",29,161,62,0.385093167701863,0.328000288585815,0.0570928791160481
"Nat Martinez","San Diego St",28,124,45,0.362903225806452,0.327779518678808,0.0351237071276436
"Noelle Hubert","N Kentucky",28,79,30,0.379746835443038,0.327581669645342,0.0521651657976961
